Object ID, ,Last Data Refresh,Study Region (for Merging),top 10 % ownership,Acreage top 10% owns,top 1 % ownership,Acreage top 1% owns,Ag Acreage,# of Owners in top 10 %,Ag Output Notes
1,Alameda,8/5/25,Bay Area & Central Coast,84.95%,235345.70,50.16%,138949.06,277026.85,262,
2,Contra Costa,8/5/25,Bay Area & Central Coast,88.33%,192312.30,60.92%,132637.03,217727.57,3404,
3,Monterey,8/5/25,Bay Area & Central Coast,60.53%,558676.68,23.61%,217895.40,923016.69,199,
4,San Benito,8/5/25,Bay Area & Central Coast,80.32%,672766.98,42.25%,353906.60,837650.06,277,
5,San Francisco,8/5/25,Bay Area & Central Coast,,-,,-,0.00,-,No ag parcels
6,San Luis Obispo,8/5/25,Bay Area & Central Coast,76.09%,943872.43,45.40%,563215.77,1240450.14,615,
7,San Mateo,8/5/25,Bay Area & Central Coast,80.71%,56128.38,38.74%,26939.75,69546.30,73,
8,Santa Barbara,8/5/25,Bay Area & Central Coast,56.94%,676743.65,31.08%,369424.17,1188508.38,407,
9,Santa Clara,8/5/25,Bay Area & Central Coast,60.95%,326852.51,55.43%,297218.27,536247.69,6046,
10,Santa Cruz,8/5/25,Bay Area & Central Coast,69.74%,57104.78,39.84%,32624.21,81878.39,901,
11,Ventura,8/5/25,Bay Area & Central Coast,78.46%,251609.56,40.09%,128542.60,320664.92,463,
12,Fresno,8/3/25,Central Valley,73.70%,1628126.60,45.81%,1011889.76,2209028.73,2183,
13,Kern ,8/3/25,Central Valley,68.47%,2585844.29,50.54%,1908801.21,3776713.15,2544,2334 records with no owner or mailadd
14,Kings,8/3/25,Central Valley,86.73%,717090.83,66.18%,547164.36,826796.42,515,Majority defined by lbcs
15,Madera,8/3/25,Central Valley,76.00%,550092.48,37.89%,274283.15,723830.62,566,Majority defined by lbcs
16,Merced,8/3/25,Central Valley,61.90%,554124.27,29.61%,265073.73,895136.21,692,Majority defined by cdl
17,San Joaquin,8/3/25,Central Valley,81.99%,592770.97,39.88%,288285.05,722966.02,1297,Defined completely by cdl
18,Stanislaus,8/3/25,Central Valley,82.72%,671085.53,46.62%,378256.41,811285.73,1089,Defined completely by cdl
19,Tulare,8/3/25,Central Valley,92.13%,2282271.99,70.35%,1742719.14,2477142.14,1433,
20,Del Norte,7/29/25,North Coast,56.80%,13074.83,34.92%,8038.25,23020.74,276,
